Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C3, C4, C6, C7, C8",0805,9,100n,C49678
"C12, C13, C9",0805,3,10u,C15850
"C35, C50",0805,2,2n2,C28260
"C36, C53",0805,2,22u,C45783
C37,0805,1,56p,
C5,0805,1,2.2u,C377773
C52,1206,1,2u2/100V,C577211
D1,0805,1,~,C84256
D2,TSOT-23,1,CDSOT23-SM712,C5122012
"D3, D4, D5",D_SOD-123F,3,100V/3A,C106914
"D6, D7, D8",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,3,WS2812B,C2843785
"H1, H2",MountingHole_3.2mm_M3,2,MountingHole,
J1,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,CAN,
J2,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,BATTERY,
J5,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J7,JST_PH_S3B-PH-K_1x03_P2.00mm_Horizontal,1,RS485,
L2,L_Taiyo-Yuden_NR-80xx,1,33u,
R1,0805,1,1k,C17513
R10,0805,1,120,C17437
"R11, R12, R13, R17",0805,4,10,C17415
"R14, R15, R16, R2, R3, R4, R5, R7",0805,8,10k,C17414
R6,0805,1,220,C17557
R67,0805,1,240k,
"R8, R9",0805,2,5k1, C27834
R83,0805,1,316k,
R84,0805,1,101k,
R85,0805,1,41k2,C149504
SW1,Flat_SMD_Switch,1,SW_SPST,C318884
TP1,TestPoint_Pad_D0.8mm,1,3V3,
TP10,TestPoint_Pad_D0.8mm,1,CANH,
TP11,TestPoint_Pad_D0.8mm,1,CANL,
TP12,TestPoint_Pad_D0.8mm,1,IO3,
TP2,TestPoint_Pad_D0.8mm,1,5V,
TP3,TestPoint_Pad_D0.8mm,1,RX,
TP4,TestPoint_Pad_D0.8mm,1,DE,
TP5,TestPoint_Pad_D0.8mm,1,TX,
TP6,TestPoint_Pad_D0.8mm,1,MOSI,
TP7,TestPoint_Pad_D0.8mm,1,MISO,
TP8,TestPoint_Pad_D0.8mm,1,SCK,
TP9,TestPoint_Pad_D0.8mm,1,CS,
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,
U2,SOT-23-5,1,AP2112K-3.3,C51118
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T-3,C58988
U4,MKDV32GCL-STP,1,~,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX485E,
U6,SOT-23-6,1,USBLC6-2SC6,C2827654
U9,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias,1,LM5164DDA,C477928
